123 application-vnd.lotus-1-2-3
kpr application-x-kpresenter
kpt application-x-kpresenter
kpxx application-vnd.ds-keypoint
ksp application-x-kspread
ktr application-vnd.kahootz
ktx image-ktx
ktz application-vnd.kahootz
kwd application-x-kword
kwt application-x-kword
lasxml application-vnd.las.las+xml
latex application-x-latex
lbd application-vnd.llamagraphics.life-balance.desktop
lbe application-vnd.llamagraphics.life-balance.exchange+xml
les application-vnd.hhe.lesson-player
lha application-x-lha
lhs text-x-literate-haskell
lin application-bbolin
link66 application-vnd.route66.link66+xml
list3820 application-vnd.ibm.modcap
listafp application-vnd.ibm.modcap
list text-plain
lnk application-x-ms-shortcut
log text-plain
lostxml application-lost+xml
lrf application-octet-stream
lrm application-vnd.ms-lrm
lsf video
lsx video
ltf application-vnd.frogans.ltf
ltx text-x-tex
lvp audio-vnd.lucent.voice
lwp application-vnd.lotus-wordpro
ly text-x-lilypond
lyx application-x-lyx
lzh application-x-lzh
lzx application-x-lzx
m13 application-x-msmediaview
m14 application-x-msmediaview
m1v video
m21 application-mp21
m2a audio-mpeg
m2v video
m3a audio-mpeg
m3g application-m3g
m3u8 application-x-mpegURL
m3u audio-mpegurl
m4a audio-mpeg
m4u video
m4v video
ma application-mathematica
mads application-mads+xml
mag application-vnd.ecowin.chart
maker application-x-maker
man text-troff
mar application-octet-stream
mathml application-mathml+xml
mb application-mathematica
mbk application-vnd.mobius.mbk
mbox application-mbox
mc1 application-vnd.medcalcdata
mcd application-vnd.mcd
mcif chemical-x-mmcif
mcm chemical-x-macmolecule
mcurl text-vnd.curl.mcurl
md5 application-x-md5
mdb application-msaccess
mdi image-vnd.ms-modi
mesh model-mesh
meta4 application-metalink4+xml
metalink application-metalink+xml
me text-troff
mets application-mets+xml
mfm application-vnd.mfmp
mft application-rpki-manifest
mgp application-vnd.osgeo.mapguide.package
mgz application-vnd.proteus.magazine
mid audio-midi
midi audio-midi
mie application-x-mie
mif application-x-mif
mime message-rfc822
mj2 video
mjp2 video
mk3d video
mka audio-x-matroska
mks video
mkv video
mlp application-vnd.dolby.mlp
mm application-x-freemind
mmd chemical-x-macromodel-input
mmf application-vnd.smaf
mml text-mathml
mmod chemical-x-macromodel-input
mmr image-vnd.fujixerox.edmics-mmr
mng video
mny application-x-msmoney
mobi application-x-mobipocket-ebook
moc text-x-moc
mods application-mods+xml
mol2 chemical-x-mol2
mol chemical-x-mdl-molfile
moo chemical-x-mopac-out
mop chemical-x-mopac-input
mopcrt chemical-x-mopac-input
movie video
mov video
mp21 application-mp21
mp2a audio-mpeg
mp2 audio-mpeg
mp3 audio-mpeg
mp4a audio-mp4
